ANNEE,MOIS,NUM COMMANDE,CANAL,CENTRAL,ENSEIGNE,REFERENCE,DESIGNATION,SECTEUR,MARQUE,FAMILLE,SOUS-FAMILLE,PRODUIT,QUANTITE,PRIX,CA VENTE,PRIX ACHAT,CA ACHAT,MARGE
2023,1,S012300098,RHF,GEDAL,GEDAL,47913,COCKT 4F SL  12X4/4 MELODIE DE FRUIT,Autres marques,MELODIE DE FRUIT,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,7,"19,68","137,76","1,391","9,737","128,023"
2023,1,S012300098,RHF,GEDAL,GEDAL,28200,PECHE SL     3X5/1 MELODIE DE FRUITS,Autres marques,MELODIE DE FRUIT,FEM MONOFRUITS,VERGER,PECHES,55,"19,35","1064,25","7,869","432,795","631,455"
2023,1,S012300099,RHF,TRANSGOURMET,TRANSGOURMET,46613,COCKTAIL 4FR  SL GF 3X5/1 St.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,55,"37,2506","2048,783","8,39","461,45","1587,333"
2023,1,S012300099,RHF,TRANSGOURMET,TRANSGOURMET,52193,PECHE 14-17 SAC. DPNG 3X5/1 ST MAMET,Marque St Mamet Gros Condition,#N/A,#N/A,#N/A,#N/A,220,"32,1854","7080,788","7,765","1708,3","5372,488"
2023,1,S012300098,RHF,GEDAL,GEDAL,20899,CUBES DE PECHE   3X5/1   ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,55,"40,8374","2246,057","7,957","437,635","1808,422"
2023,1,S012300098,RHF,GEDAL,GEDAL,22135,CUBES DE POIRE 3X5/1   ST.MAMET,Marque St Mamet Gros Condition,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,33,"47,3349","1562,0517","7,765","256,245","1305,8067"
2023,1,S012300025,GMS,ITM,ITM BASES,42985,ABRICOT SL 12X4/4OF   ST.MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,144,"34,92","5028,48","1,627","234,288","4794,192"
2023,1,S012300025,GMS,ITM,ITM BASES,51598,ABRICOT AFG4D B14-17° 12X1/2OF STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,144,"20,28","2920,32","0,968","139,392","2780,928"
2023,1,S012300025,GMS,ITM,ITM BASES,48436,FRAICHEUR ILES SL SACCH ARO 8X3X1/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,126,"25,68","3235,68","1,956","246,456","2989,224"
2023,1,S012300025,GMS,ITM,ITM BASES,50554,POIRE SL SACCH  12X1/2 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,288,"23,28","6704,64","0,819","235,872","6468,768"
